State,Year,Quarter,H_idx
AR,1979,1,91.64
AR,1979,2,94.62
AR,1979,3,99.18
AR,1979,4,101.37
AR,1980,1,100.0
AR,1980,2,100.85
AR,1980,3,106.56
AR,1980,4,108.9
AR,1981,1,109.62
AR,1981,2,106.31
AR,1981,3,108.97
AR,1981,4,102.79
AR,1982,1,102.55
AR,1982,2,105.92
AR,1982,3,110.76
AR,1982,4,108.36
AR,1983,1,113.0
AR,1983,2,116.22
AR,1983,3,117.87
AR,1983,4,118.08
AR,1984,1,120.37
AR,1984,2,118.74
AR,1984,3,119.4
AR,1984,4,120.83
AR,1985,1,120.96
AR,1985,2,119.69
AR,1985,3,123.8
AR,1985,4,124.11
AR,1986,1,125.38
AR,1986,2,128.45
AR,1986,3,126.37
AR,1986,4,127.94
AR,1987,1,128.9
AR,1987,2,130.44
AR,1987,3,127.43
AR,1987,4,123.95
AR,1988,1,126.27
AR,1988,2,127.28
AR,1988,3,126.56
AR,1988,4,125.98
AR,1989,1,126.94
AR,1989,2,126.64
AR,1989,3,127.83
AR,1989,4,126.88
AR,1990,1,127.57
AR,1990,2,127.78
AR,1990,3,128.51
AR,1990,4,128.02
AR,1991,1,129.29
AR,1991,2,129.97
AR,1991,3,131.16
AR,1991,4,133.42
AR,1992,1,134.48
AR,1992,2,133.85
AR,1992,3,136.19
AR,1992,4,136.83
AR,1993,1,138.03
AR,1993,2,140.29
AR,1993,3,142.87
AR,1993,4,144.6
AR,1994,1,147.38
AR,1994,2,148.63
AR,1994,3,150.46
AR,1994,4,151.51
AR,1995,1,152.3
AR,1995,2,156.47
AR,1995,3,158.4
AR,1995,4,159.2
AR,1996,1,161.53
AR,1996,2,161.82
AR,1996,3,161.62
AR,1996,4,163.28
AR,1997,1,164.8
AR,1997,2,166.3
AR,1997,3,167.21
AR,1997,4,169.46
AR,1998,1,171.27
AR,1998,2,171.26
AR,1998,3,174.02
AR,1998,4,175.95
AR,1999,1,176.74
AR,1999,2,176.96
AR,1999,3,177.6
AR,1999,4,178.27
AR,2000,1,179.13
AR,2000,2,180.83
AR,2000,3,181.9
AR,2000,4,184.35
AR,2001,1,188.99
AR,2001,2,190.09
AR,2001,3,192.05
AR,2001,4,193.99
AR,2002,1,194.73
AR,2002,2,195.59
AR,2002,3,198.78
AR,2002,4,201.25
AR,2003,1,202.77
AR,2003,2,204.07
AR,2003,3,206.52
AR,2003,4,209.66
AR,2004,1,212.29
AR,2004,2,215.79
AR,2004,3,219.33
AR,2004,4,223.19
AR,2005,1,226.32
AR,2005,2,231.56
AR,2005,3,236.7
AR,2005,4,239.94
AR,2006,1,243.45
AR,2006,2,246.82
AR,2006,3,249.51
AR,2006,4,251.69
AR,2007,1,254.0
AR,2007,2,255.5
AR,2007,3,255.23
AR,2007,4,256.35
AR,2008,1,256.11
AR,2008,2,255.35
AR,2008,3,252.32
AR,2008,4,253.64
AR,2009,1,255.85
AR,2009,2,252.67
AR,2009,3,248.59
AR,2009,4,247.56
AR,2010,1,244.22
AR,2010,2,244.99
AR,2010,3,245.8
AR,2010,4,244.74
AR,2011,1,240.83
AR,2011,2,239.12
AR,2011,3,241.3
AR,2011,4,242.51
AR,2012,1,241.92
AR,2012,2,239.5
AR,2012,3,242.84
AR,2012,4,244.36
AR,2013,1,245.06
AR,2013,2,245.46
AR,2013,3,246.17
AR,2013,4,245.76
AR,2014,1,247.15
AR,2014,2,247.05
AR,2014,3,249.33
AR,2014,4,252.06
AR,2015,1,252.17
AR,2015,2,252.99
AR,2015,3,256.51
AR,2015,4,258.53
AR,2016,1,257.2
AR,2016,2,261.06
AR,2016,3,263.85
AR,2016,4,265.14
AR,2017,1,268.07
AR,2017,2,269.45
AR,2017,3,272.36
AR,2017,4,274.56
AR,2018,1,277.34
AR,2018,2,280.0
AR,2018,3,282.45
AR,2018,4,284.65
AR,2019,1,287.06
AR,2019,2,290.43
AR,2019,3,293.58
AR,2019,4,296.16
AR,2020,1,297.96
AR,2020,2,300.57
AR,2020,3,305.0
AR,2020,4,312.44
AR,2021,1,318.0
AR,2021,2,334.29
AR,2021,3,352.71
AR,2021,4,368.11
AR,2022,1,378.74
AR,2022,2,403.65
AR,2022,3,417.51
AR,2022,4,417.84
AZ,1975,1,60.65
AZ,1975,2,59.9
AZ,1975,3,59.46
AZ,1975,4,56.35
AZ,1976,1,58.98
AZ,1976,2,62.85
AZ,1976,3,61.12
AZ,1976,4,61.79
AZ,1977,1,63.63
AZ,1977,2,63.91
AZ,1977,3,66.2
AZ,1977,4,70.15
AZ,1978,1,71.42
AZ,1978,2,74.14
AZ,1978,3,78.98
AZ,1978,4,83.08
AZ,1979,1,87.17
AZ,1979,2,92.61
AZ,1979,3,95.4
AZ,1979,4,98.93
AZ,1980,1,100.0
AZ,1980,2,98.35
AZ,1980,3,106.93
AZ,1980,4,107.69
AZ,1981,1,108.79
AZ,1981,2,111.91
AZ,1981,3,116.47
AZ,1981,4,109.78
AZ,1982,1,105.34
AZ,1982,2,109.12
AZ,1982,3,101.42
AZ,1982,4,108.7
AZ,1983,1,118.94
AZ,1983,2,119.08
AZ,1983,3,115.3
AZ,1983,4,112.86
AZ,1984,1,117.52
AZ,1984,2,121.75
AZ,1984,3,122.84
AZ,1984,4,122.51
AZ,1985,1,125.07
AZ,1985,2,125.52
AZ,1985,3,127.23
AZ,1985,4,128.8
AZ,1986,1,131.42
AZ,1986,2,135.37
AZ,1986,3,135.36
AZ,1986,4,132.91
AZ,1987,1,137.72
AZ,1987,2,136.64
AZ,1987,3,135.68
AZ,1987,4,133.54
AZ,1988,1,134.92
AZ,1988,2,136.12
AZ,1988,3,134.11
AZ,1988,4,134.33
AZ,1989,1,133.12
AZ,1989,2,132.6
AZ,1989,3,134.64
AZ,1989,4,133.93
AZ,1990,1,133.68
AZ,1990,2,132.89
AZ,1990,3,134.07
AZ,1990,4,132.73
AZ,1991,1,134.76
AZ,1991,2,135.73
AZ,1991,3,135.19
AZ,1991,4,139.13
AZ,1992,1,139.82
AZ,1992,2,139.55
AZ,1992,3,140.48
AZ,1992,4,141.33
AZ,1993,1,141.45
AZ,1993,2,143.17
AZ,1993,3,144.31
AZ,1993,4,146.22
AZ,1994,1,148.2
AZ,1994,2,150.34
AZ,1994,3,152.27
AZ,1994,4,153.93
AZ,1995,1,155.88
AZ,1995,2,158.73
AZ,1995,3,161.78
AZ,1995,4,163.88
AZ,1996,1,166.45
AZ,1996,2,166.78
AZ,1996,3,168.34
AZ,1996,4,169.75
AZ,1997,1,171.62
AZ,1997,2,172.5
AZ,1997,3,175.53
AZ,1997,4,178.19
AZ,1998,1,180.7
AZ,1998,2,182.21
AZ,1998,3,184.68
AZ,1998,4,186.82
AZ,1999,1,188.7
AZ,1999,2,191.11
AZ,1999,3,193.74
AZ,1999,4,195.62
AZ,2000,1,200.06
AZ,2000,2,202.25
AZ,2000,3,204.96
AZ,2000,4,208.08
AZ,2001,1,212.74
AZ,2001,2,216.02
AZ,2001,3,219.14
AZ,2001,4,221.26
AZ,2002,1,224.27
AZ,2002,2,227.25
AZ,2002,3,231.12
AZ,2002,4,233.79
AZ,2003,1,236.58
AZ,2003,2,239.04
AZ,2003,3,242.73
AZ,2003,4,250.88
AZ,2004,1,255.27
AZ,2004,2,264.39
AZ,2004,3,279.82
AZ,2004,4,291.29
AZ,2005,1,308.97
AZ,2005,2,340.81
AZ,2005,3,369.81
AZ,2005,4,395.53
AZ,2006,1,410.28
AZ,2006,2,419.0
AZ,2006,3,422.63
AZ,2006,4,426.28
AZ,2007,1,424.48
AZ,2007,2,420.85
AZ,2007,3,411.52
AZ,2007,4,404.62
AZ,2008,1,391.22
AZ,2008,2,368.64
AZ,2008,3,341.66
AZ,2008,4,329.62
AZ,2009,1,328.59
AZ,2009,2,305.13
AZ,2009,3,289.37
AZ,2009,4,280.77
AZ,2010,1,272.93
AZ,2010,2,263.35
AZ,2010,3,263.02
AZ,2010,4,256.47
AZ,2011,1,242.03
AZ,2011,2,230.11
AZ,2011,3,232.02
AZ,2011,4,237.18
AZ,2012,1,236.15
AZ,2012,2,239.06
AZ,2012,3,248.81
AZ,2012,4,256.29
AZ,2013,1,262.57
AZ,2013,2,274.42
AZ,2013,3,282.56
AZ,2013,4,290.46
AZ,2014,1,295.97
AZ,2014,2,301.27
AZ,2014,3,304.36
AZ,2014,4,309.41
AZ,2015,1,312.02
AZ,2015,2,318.7
AZ,2015,3,325.16
AZ,2015,4,329.69
AZ,2016,1,333.61
AZ,2016,2,340.6
AZ,2016,3,346.27
AZ,2016,4,351.91
AZ,2017,1,357.06
AZ,2017,2,366.22
AZ,2017,3,373.97
AZ,2017,4,378.36
AZ,2018,1,386.19
AZ,2018,2,394.28
AZ,2018,3,403.41
AZ,2018,4,408.06
AZ,2019,1,413.32
AZ,2019,2,421.52
AZ,2019,3,427.85
AZ,2019,4,435.22
AZ,2020,1,443.97
AZ,2020,2,451.71
AZ,2020,3,462.76
AZ,2020,4,479.09
AZ,2021,1,500.47
AZ,2021,2,540.26
AZ,2021,3,585.1
AZ,2021,4,614.88
AZ,2022,1,644.52
AZ,2022,2,695.19
AZ,2022,3,705.33
AZ,2022,4,682.98
CA,1975,1,41.71
CA,1975,2,42.74
CA,1975,3,44.29
CA,1975,4,45.76
CA,1976,1,47.79
CA,1976,2,50.27
CA,1976,3,53.56
CA,1976,4,55.57
CA,1977,1,58.01
CA,1977,2,63.0
CA,1977,3,67.96
CA,1977,4,70.68
CA,1978,1,73.21
CA,1978,2,75.98
CA,1978,3,78.62
CA,1978,4,81.81
CA,1979,1,84.85
CA,1979,2,88.64
CA,1979,3,93.09
CA,1979,4,96.4
CA,1980,1,100.0
CA,1980,2,102.85
CA,1980,3,106.54
CA,1980,4,108.38
CA,1981,1,110.4
CA,1981,2,112.94
CA,1981,3,116.32
CA,1981,4,117.53
CA,1982,1,104.23
CA,1982,2,107.37
CA,1982,3,104.84
CA,1982,4,115.85
CA,1983,1,116.7
CA,1983,2,117.42
CA,1983,3,117.23
CA,1983,4,117.75
